Not Covered,Time
0.565287,2.577
0.526061,4.304
0.554541,2.589
0.5464800000000001,2.786
0.526599,3.793
0.5341210000000001,3.118
0.543256,2.852
0.531972,3.332
0.536808,3.075
0.541644,2.98
0.5394950000000001,3.0
0.528748,3.568
0.528211,3.723
0.5298229999999999,3.517
0.5303599999999999,3.401
0.527136,3.77
0.530897,3.335

default behavior
0.5217620000000001,5.929
