package,class,line,full_coverage,partial_coverage,no_coverage
org.mockito.exceptions,Reporter,130,2,0,233
org.mockito.exceptions,Reporter,134,0,0,235
org.mockito.exceptions,Reporter,135,0,0,235
org.mockito.exceptions,Reporter,145,1,0,234
org.mockito.exceptions,Reporter,157,0,0,235
org.mockito.exceptions,Reporter,165,0,0,235
org.mockito.exceptions,Reporter,174,2,0,233
org.mockito.exceptions,Reporter,184,1,0,234
org.mockito.exceptions,Reporter,194,1,0,234
org.mockito.exceptions,Reporter,203,0,0,235
org.mockito.exceptions,Reporter,212,0,0,235
org.mockito.exceptions,Reporter,221,2,0,233
org.mockito.exceptions,Reporter,230,1,0,234
org.mockito.exceptions,Reporter,239,1,0,234
org.mockito.exceptions,Reporter,241,1,0,234
org.mockito.exceptions,Reporter,242,1,0,234
org.mockito.exceptions,Reporter,258,0,0,235
org.mockito.exceptions,Reporter,262,0,0,235
org.mockito.exceptions,Reporter,263,0,0,235
org.mockito.exceptions,Reporter,279,0,0,235
org.mockito.exceptions,Reporter,286,0,0,235
org.mockito.exceptions,Reporter,295,2,0,233
org.mockito.exceptions,Reporter,297,2,0,233
org.mockito.exceptions,Reporter,298,2,0,233
org.mockito.exceptions,Reporter,302,16,0,219
org.mockito.exceptions,Reporter,311,16,0,219
org.mockito.exceptions,Reporter,315,6,0,229
org.mockito.exceptions,Reporter,321,6,0,229
org.mockito.exceptions,Reporter,323,5,0,230
org.mockito.exceptions,Reporter,325,5,0,230
org.mockito.exceptions,Reporter,326,5,0,230
org.mockito.exceptions,Reporter,327,5,0,230
org.mockito.exceptions,Reporter,328,5,0,230
org.mockito.exceptions,Reporter,329,5,0,230
org.mockito.exceptions,Reporter,330,5,0,230
org.mockito.exceptions,Reporter,333,11,0,224
org.mockito.exceptions,Reporter,334,11,0,224
org.mockito.exceptions,Reporter,338,17,0,218
org.mockito.exceptions,Reporter,340,17,0,218
org.mockito.exceptions,Reporter,347,11,0,224
org.mockito.exceptions,Reporter,350,11,0,224
org.mockito.exceptions,Reporter,353,11,0,224
org.mockito.exceptions,Reporter,354,11,0,224
org.mockito.exceptions,Reporter,360,2,0,233
org.mockito.exceptions,Reporter,361,2,0,233
org.mockito.exceptions,Reporter,366,6,0,229
org.mockito.exceptions,Reporter,367,6,0,229
org.mockito.exceptions,Reporter,368,6,0,229
org.mockito.exceptions,Reporter,370,6,0,229
org.mockito.exceptions,Reporter,377,1,0,234
org.mockito.exceptions,Reporter,378,1,0,234
org.mockito.exceptions,Reporter,388,4,0,231
org.mockito.exceptions,Reporter,389,4,0,231
org.mockito.exceptions,Reporter,399,7,0,228
org.mockito.exceptions,Reporter,400,7,0,228
org.mockito.exceptions,Reporter,401,7,0,228
org.mockito.exceptions,Reporter,403,7,0,228
org.mockito.exceptions,Reporter,406,7,0,228
org.mockito.exceptions,Reporter,410,3,0,232
org.mockito.exceptions,Reporter,412,3,0,232
org.mockito.exceptions,Reporter,416,4,0,231
org.mockito.exceptions,Reporter,418,4,0,231
org.mockito.exceptions,Reporter,424,16,0,219
org.mockito.exceptions,Reporter,425,16,0,219
org.mockito.exceptions,Reporter,427,16,0,219
org.mockito.exceptions,Reporter,430,16,0,219
org.mockito.exceptions,Reporter,431,16,0,219
org.mockito.exceptions,Reporter,437,3,0,232
org.mockito.exceptions,Reporter,440,3,0,232
org.mockito.exceptions,Reporter,441,3,0,232
org.mockito.exceptions,Reporter,446,2,0,233
org.mockito.exceptions,Reporter,447,2,0,233
org.mockito.exceptions,Reporter,454,0,0,235
org.mockito.exceptions,Reporter,471,0,0,235
org.mockito.exceptions,Reporter,483,0,0,235
org.mockito.exceptions,Reporter,498,1,0,234
org.mockito.exceptions,Reporter,503,1,0,234
org.mockito.exceptions,Reporter,510,2,0,233
org.mockito.exceptions,Reporter,514,1,0,234
org.mockito.exceptions,Reporter,516,1,0,234
org.mockito.exceptions,Reporter,532,1,0,234
org.mockito.exceptions,Reporter,540,235,0,0
org.mockito.exceptions,Reporter,543,0,0,235
org.mockito.exceptions,Reporter,558,0,0,235
org.mockito.exceptions,Reporter,564,1,0,234
org.mockito.exceptions,Reporter,566,1,0,234
org.mockito.exceptions,Reporter,570,0,0,235
org.mockito.exceptions,Reporter,571,1,0,234
org.mockito.exceptions,Reporter,573,1,0,234
org.mockito.exceptions,Reporter,579,0,0,235
org.mockito.exceptions,Reporter,585,0,0,235
org.mockito.exceptions,Reporter,587,0,0,235
org.mockito.exceptions,Reporter,596,0,0,235
org.mockito.exceptions,Reporter,605,0,0,235
org.mockito.exceptions,Reporter,615,0,0,235
org.mockito.exceptions,Reporter,621,0,0,235
org.mockito.exceptions,Reporter,626,0,0,235
org.mockito.exceptions,Reporter,628,0,0,235
org.mockito.exceptions,Reporter,637,0,0,235
org.mockito.exceptions,Reporter,639,0,0,235
org.mockito.exceptions,Reporter,640,1,0,234
org.mockito.exceptions,Reporter,649,0,0,235
org.mockito.exceptions,Reporter,660,0,0,235
